Size,Threshold,Random,ReverseSorted,NearlySorted
3800,35,0.403,0.281,0.123
3800,40,0.398,0.280,0.126
3800,45,0.391,0.298,0.128
3800,50,0.387,0.281,0.123
3900,5,0.455,0.220,0.149
3900,10,0.420,0.209,0.150
3900,15,0.422,0.242,0.168
3900,20,0.405,0.242,0.146
3900,25,0.398,0.236,0.152
3900,30,0.412,0.271,0.141
3900,35,0.406,0.287,0.136
3900,40,0.408,0.304,0.136
3900,45,0.405,0.298,0.140
3900,50,0.400,0.309,0.139
4000,5,0.472,0.225,0.157
4000,10,0.437,0.217,0.152
4000,15,0.429,0.244,0.147
4000,20,0.432,0.251,0.145
4000,25,0.421,0.249,0.150
4000,30,0.429,0.244,0.144
4000,35,0.421,0.320,0.137
4000,40,0.411,0.299,0.136
4000,45,0.422,0.313,0.151
4000,50,0.424,0.318,0.136
4100,5,0.511,0.238,0.158
4100,10,0.445,0.224,0.160
4100,15,0.442,0.227,0.150
4100,20,0.425,0.250,0.150
4100,25,0.423,0.248,0.145
4100,30,0.426,0.256,0.145
4100,35,0.425,0.332,0.137
4100,40,0.450,0.317,0.142
4100,45,0.430,0.315,0.137
4100,50,0.419,0.320,0.141
4200,5,0.495,0.232,0.159
4200,10,0.465,0.236,0.167
4200,15,0.455,0.236,0.159
4200,20,0.438,0.253,0.152
4200,25,0.447,0.257,0.159
4200,30,0.430,0.255,0.152
4200,35,0.442,0.336,0.146
4200,40,0.443,0.333,0.149
4200,45,0.436,0.338,0.146
4200,50,0.481,0.338,0.144
4300,5,0.513,0.244,0.170
4300,10,0.485,0.238,0.167
4300,15,0.489,0.250,0.167
4300,20,0.445,0.263,0.162
4300,25,0.461,0.321,0.160
4300,30,0.474,0.294,0.163
4300,35,0.518,0.391,0.152
4300,40,0.494,0.344,0.160
4300,45,0.451,0.376,0.158
4300,50,0.464,0.345,0.149
4400,5,0.501,0.244,0.171
4400,10,0.495,0.256,0.171
4400,15,0.473,0.246,0.169
4400,20,0.457,0.277,0.164
4400,25,0.460,0.287,0.169
4400,30,0.464,0.284,0.163
4400,35,0.452,0.355,0.158
4400,40,0.472,0.345,0.154
4400,45,0.465,0.348,0.158
4400,50,0.475,0.346,0.154
4500,5,0.514,0.245,0.172
4500,10,0.491,0.257,0.178
4500,15,0.510,0.253,0.167
4500,20,0.491,0.296,0.162
4500,25,0.475,0.286,0.163
4500,30,0.467,0.299,0.162
4500,35,0.485,0.349,0.154
4500,40,0.493,0.360,0.160
4500,45,0.499,0.374,0.153
4500,50,0.468,0.363,0.161
4600,5,0.530,0.272,0.176
4600,10,0.499,0.267,0.173
4600,15,0.502,0.267,0.195
4600,20,0.508,0.317,0.168
4600,25,0.482,0.297,0.166
4600,30,0.495,0.291,0.185
4600,35,0.506,0.297,0.173
4600,40,0.514,0.385,0.161
4600,45,0.499,0.377,0.163
4600,50,0.506,0.380,0.163
4700,5,0.539,0.266,0.185
4700,10,0.511,0.276,0.192
4700,15,0.518,0.286,0.183
4700,20,0.499,0.299,0.177
4700,25,0.486,0.325,0.178
4700,30,0.505,0.309,0.176
4700,35,0.501,0.309,0.172
4700,40,0.515,0.415,0.166
4700,45,0.519,0.431,0.168
4700,50,0.509,0.386,0.205
4800,5,0.589,0.282,0.190
4800,10,0.518,0.267,0.197
4800,15,0.557,0.284,0.194
4800,20,0.508,0.322,0.216
4800,25,0.533,0.326,0.191
4800,30,0.512,0.331,0.179
4800,35,0.535,0.305,0.187
4800,40,0.515,0.429,0.172
4800,45,0.556,0.418,0.175
4800,50,0.518,0.410,0.173
4900,5,0.589,0.281,0.206
4900,10,0.593,0.308,0.214
4900,15,0.546,0.282,0.203
4900,20,0.539,0.319,0.186
4900,25,0.543,0.320,0.216
4900,30,0.530,0.335,0.188
4900,35,0.527,0.332,0.187
4900,40,0.549,0.418,0.176
4900,45,0.572,0.425,0.180
4900,50,0.537,0.428,0.177
5000,5,0.600,0.292,0.207
5000,10,0.561,0.289,0.200
5000,15,0.554,0.294,0.200
5000,20,0.536,0.327,0.189
5000,25,0.531,0.354,0.191
5000,30,0.541,0.329,0.188
5000,35,0.534,0.330,0.190
5000,40,0.559,0.442,0.181
5000,45,0.565,0.431,0.210
5000,50,0.545,0.432,0.182
5100,5,0.598,0.298,0.204
5100,10,0.563,0.302,0.201
5100,15,0.569,0.301,0.204
5100,20,0.560,0.344,0.195
5100,25,0.543,0.356,0.194
5100,30,0.550,0.338,0.195
5100,35,0.556,0.344,0.194
5100,40,0.561,0.474,0.186
5100,45,0.561,0.480,0.184
5100,50,0.571,0.450,0.203
5200,5,0.632,0.298,0.210
5200,10,0.578,0.321,0.211
5200,15,0.581,0.312,0.208
5200,20,0.565,0.333,0.204
5200,25,0.581,0.404,0.207
5200,30,0.651,0.357,0.200
5200,35,0.576,0.349,0.199
5200,40,0.561,0.401,0.197
5200,45,0.573,0.459,0.189
5200,50,0.607,0.470,0.196
5300,5,0.634,0.308,0.232
5300,10,0.628,0.323,0.217
5300,15,0.637,0.319,0.214
5300,20,0.595,0.334,0.219
5300,25,0.578,0.362,0.205
5300,30,0.571,0.366,0.203
5300,35,0.567,0.357,0.206
5300,40,0.605,0.356,0.203
5300,45,0.594,0.477,0.196
5300,50,0.586,0.497,0.199
5400,5,0.651,0.308,0.221
5400,10,0.625,0.311,0.218
5400,15,0.608,0.326,0.215
5400,20,0.634,0.319,0.219
5400,25,0.587,0.376,0.211
5400,30,0.613,0.366,0.202
5400,35,0.588,0.365,0.205
5400,40,0.590,0.499,0.206
5400,45,0.617,0.511,0.195
5400,50,0.654,0.518,0.194
5500,5,0.734,0.325,0.239
5500,10,0.694,0.317,0.222
5500,15,0.690,0.369,0.220
5500,20,0.721,0.324,0.220
5500,25,0.677,0.632,0.368
5500,30,0.833,0.622,0.283
5500,35,0.589,0.368,0.210
5500,40,0.597,0.379,0.207
5500,45,0.610,0.509,0.207
5500,50,0.623,0.493,0.206
5600,5,0.694,0.312,0.236
5600,10,0.644,0.326,0.228
5600,15,0.618,0.323,0.226
5600,20,0.605,0.348,0.226
5600,25,0.629,0.383,0.219
5600,30,0.595,0.404,0.279
5600,35,0.616,0.398,0.230
5600,40,0.621,0.384,0.212
5600,45,0.634,0.538,0.204
5600,50,0.623,0.538,0.212
5700,5,0.680,0.327,0.228
5700,10,0.661,0.320,0.229
5700,15,0.638,0.330,0.228
5700,20,0.628,0.337,0.225
5700,25,0.638,0.410,0.213
5700,30,0.609,0.443,0.215
5700,35,0.615,0.393,0.210
5700,40,0.622,0.407,0.221
5700,45,0.646,0.647,0.202
5700,50,0.650,0.568,0.204
5800,5,0.701,0.390,0.231
5800,10,0.686,0.329,0.251
5800,15,0.660,0.345,0.230
5800,20,0.644,0.342,0.277
5800,25,0.662,0.406,0.218
5800,30,0.688,0.462,0.217
5800,35,0.637,0.414,0.214
5800,40,0.631,0.411,0.215
5800,45,0.704,0.514,0.207
5800,50,0.642,0.533,0.211
5900,5,0.714,0.339,0.241
5900,10,0.724,0.337,0.243
5900,15,0.652,0.346,0.246
5900,20,0.682,0.368,0.233
5900,25,0.661,0.411,0.224
5900,30,0.629,0.410,0.230
5900,35,0.649,0.439,0.223
5900,40,0.663,0.414,0.227
